Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK,xG_90,xAG_90,xG+xAG,npxG_90,npxG+xAG_90,Matches
81,Steven Alzate,co COL,MF,Brighton,eng Premier League,21,1998,15,10,896,10.0,1,0,1,1,0,0,2,0,0.8,0.8,0.6,1.4,16,39,16,0.10,0.00,0.10,0.10,0.10,0.08,0.06,0.14,0.08,0.14,Matches
82,Ibrahim Amadou,fr FRA,MF,Angers,fr Ligue 1,27,1993,24,20,1504,16.7,0,0,0,0,0,0,6,0,1.5,1.5,0.2,1.7,14,63,14,0.00,0.00,0.00,0.00,0.00,0.09,0.01,0.10,0.09,0.10,Matches
83,Romain Amalfitano,fr FRA,"FW,DF",Dijon,fr Ligue 1,30,1989,2,1,116,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.1,3,8,8,0.00,0.00,0.00,0.00,0.00,0.04,0.02,0.06,0.04,0.06,Matches
84,Emmanuel Amankwaa Akurugu,gh GHA,DF,Getafe,es La Liga,18,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
85,Daniel Amartey,gh GHA,DF,Leicester City,eng Premier League,25,1994,12,8,722,8.0,1,0,1,1,0,0,3,0,0.4,0.4,0.0,0.4,4,24,0,0.12,0.00,0.12,0.12,0.12,0.05,0.00,0.05,0.05,0.05,Matches
86,Jordan Amavi,fr FRA,DF,Marseille,fr Ligue 1,26,1994,13,10,813,9.0,1,0,1,1,0,0,3,1,0.2,0.2,0.3,0.5,17,25,33,0.11,0.00,0.11,0.11,0.11,0.03,0.03,0.06,0.03,0.06,Matches
87,Thierry Ambrose,gp GLP,FW,Metz,fr Ligue 1,23,1997,23,5,753,8.4,0,1,1,0,0,0,4,0,1.0,1.0,1.4,2.4,26,30,77,0.00,0.12,0.12,0.00,0.12,0.12,0.16,0.29,0.12,0.29,Matches
88,Wisdom Amey,it ITA,DF,Bologna,it Serie A,14,2005,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
89,Nadiem Amiri,de GER,MF,Leverkusen,de Bundesliga,23,1996,29,20,1890,21.0,2,6,8,2,0,0,5,0,2.2,2.2,3.1,5.3,45,113,82,0.10,0.29,0.38,0.10,0.38,0.10,0.15,0.25,0.10,0.25,Matches
90,Ethan Ampadu,wls WAL,"DF,MF",Sheffield Utd,eng Premier League,19,2000,25,23,2089,23.2,0,0,0,0,0,0,3,0,0.3,0.3,1.2,1.5,25,100,23,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.07,0.01,0.07,Matches
